model,is_correct,n_reasoning_tokens
deepseek-reasoner,1,307
deepseek-reasoner,0,806
deepseek-reasoner,0,1408
deepseek-reasoner,0,936
deepseek-reasoner,1,383
deepseek-reasoner,0,221
deepseek-reasoner,1,392
deepseek-reasoner,1,411
deepseek-reasoner,1,509
deepseek-reasoner,0,194
deepseek-reasoner,0,734
deepseek-reasoner,0,208
deepseek-reasoner,1,189
deepseek-reasoner,0,597
deepseek-reasoner,0,791
deepseek-reasoner,1,335
deepseek-reasoner,0,213
deepseek-reasoner,0,333
deepseek-reasoner,1,341
deepseek-reasoner,1,3301
deepseek-reasoner,0,195
deepseek-reasoner,0,589
deepseek-reasoner,1,372
deepseek-reasoner,0,700
deepseek-reasoner,1,426
deepseek-reasoner,1,119
deepseek-reasoner,1,216
deepseek-reasoner,0,1876
deepseek-reasoner,0,313
deepseek-reasoner,1,210
deepseek-reasoner,1,210
gpt-4.1,1,137
gpt-4.1,0,87
gpt-4.1,0,140
gpt-4.1,0,124
gpt-4.1,0,78
gpt-4.1,0,82
gpt-4.1,1,144
gpt-4.1,0,90
gpt-4.1,1,66
gpt-4.1,0,72
gpt-4.1,1,240
gpt-4.1,0,100
gpt-4.1,1,67
gpt-4.1,1,66
gpt-4.1,0,507
gpt-4.1,0,105
gpt-4.1,1,93
gpt-4.1,1,60
gpt-4.1,1,63
gpt-4.1,0,110
gpt-4.1,1,82
gpt-4.1,1,84
gpt-4.1,0,201
gpt-4.1,0,110
gpt-4.1,0,89
gpt-4.1,1,49
gpt-4.1,0,72
gpt-4.1,0,171
gpt-4.1,0,160
gpt-4.1,0,78
gpt-4.1,0,125
gpt-4.1,0,147
gpt-4.1,0,125
gpt-4.1,0,510
gpt-4.1,0,89
gpt-4.1,0,156
gpt-4.1,0,55
gpt-4.1,0,149
gpt-4.1,0,77
gpt-4.1,0,75
gpt-4.1,0,326
gpt-4.1,1,219
gpt-4.1,0,202
gpt-4.1,1,76
gpt-4.1,0,281
gpt-4.1,1,107
gpt-4.1,1,74
gpt-4.1,0,205
gpt-4.1,1,88
gpt-4.1,0,88
gpt-4.1,1,78
gpt-4.1,1,114
gpt-4.1,0,93
gpt-4.1,0,105
gpt-4.1,1,71
gpt-4.1,1,167
gpt-4.1,0,47
gpt-4.1,0,126
gpt-4.1,1,81
gpt-4.1,1,51
gpt-4.1,0,81
gpt-4.1,0,195
gpt-4.1,1,157
gpt-4.1,0,121
gpt-4.1,1,69
gpt-4.1,0,128
gpt-4.1,0,269
gpt-4.1,1,98
gpt-4.1,1,60
gpt-4.1,0,102
gpt-4.1,1,220
gpt-4.1,0,347
gpt-4.1,1,225
gpt-4.1,1,111
gpt-4.1,1,64
gpt-4.1,1,100
gpt-4.1,0,73
gpt-4.1,0,129
gpt-4.1,1,63
gpt-4.1,0,194
gpt-4.1,0,79
gpt-4.1,0,224
gpt-4.1,0,84
gpt-4.1,0,294
gpt-4.1,0,400
gpt-4.1,1,95
gpt-4.1,0,114
gpt-4.1,1,95
gpt-4.1,1,173
gpt-4.1,0,101
gpt-4.1,0,59
gpt-4.1,0,93
gpt-4.1,0,114
gpt-4.1,0,130
gpt-4.1,1,191
gpt-4.1,0,92
gpt-4.1,1,102
gpt-4.1,0,145
gpt-4.1,0,140
gpt-4.1,0,89
gpt-4.1,1,95
gpt-4.1,0,161
gpt-4.1,1,148
gpt-4.1,1,222
gpt-4.1,0,207
gpt-4.1,0,102
gpt-4.1,0,404
gpt-4.1,1,224
gpt-4.1,1,78
gpt-4.1,1,133
gpt-4.1,0,133
gpt-4.1,1,44
gpt-4.1,0,80
gpt-4.1,0,153
gpt-4.1,1,29
gpt-4.1,0,102
gpt-4.1,0,424
gpt-4.1,0,111
gpt-4.1,0,85
gpt-4.1,1,154
gpt-4.1,1,173
gpt-4.1,1,78
gpt-4.1,0,90
gpt-4.1,0,78
gpt-4.1,1,223
gpt-4.1,1,86
gpt-4.1,0,473
gpt-4.1,0,156
gpt-4.1,0,132
gpt-4.1,1,89
gpt-4.1,1,63
gpt-4.1,0,81
gpt-4.1,1,62
gpt-4.1,0,126
gpt-4.1,0,116
gpt-4.1,0,99
gpt-4.1,1,74
gpt-4.1,1,95
gpt-4.1,0,261
gpt-4.1,0,178
gpt-4.1,0,255
gpt-4.1,1,90
gpt-4.1,0,95
gpt-4.1,0,101
gpt-4.1,0,97
gpt-4.1,0,186
gpt-4.1,1,105
gpt-4.1,1,131
gpt-4.1,0,149
gpt-4.1,1,115
gpt-4.1,0,58
gpt-4.1,0,125
gpt-4.1,1,165
gpt-4.1,0,130
gpt-4.1,0,1
gpt-4.1,1,125
gpt-4.1,0,102
gpt-4.1,0,123
gpt-4.1,1,81
gpt-4.1,0,111
gpt-4.1,0,157
gpt-4.1,1,188
gpt-4.1,0,260
gpt-4.1,1,73
gpt-4.1,1,85
gpt-4.1,0,94
gpt-4.1,0,65
gpt-4.1,1,79
gpt-4.1,0,108
gpt-4.1,1,92
gpt-4.1,0,99
gpt-4.1,0,160
gpt-4.1,0,105
gpt-4.1,1,61
gpt-4.1,0,193
gpt-4.1,0,111
gpt-4.1,1,90
gpt-4.1,1,94
gpt-4.1,1,51
gpt-4.1,1,122
gpt-4.1,1,200
gpt-4.1,0,331
gpt-4.1,1,61
gpt-4.1,0,82
gpt-4.1,0,120
gpt-4.1,0,312
gpt-4.1,1,72
gpt-4.1,0,82
gpt-4.1,0,148
gpt-4.1,0,84
gpt-4.1,1,101
gpt-4.1,0,72
gpt-4.1,0,70
gpt-4.1,0,128
gpt-4.1,0,79
gpt-4.1,0,143
gpt-4.1,0,130
gpt-4.1,0,243
gpt-4.1,0,63
gpt-4.1,0,100
gpt-4.1,0,76
gpt-4.1,0,133
gpt-4.1,0,57
gpt-4.1,0,129
gpt-4.1,1,339
gpt-4.1,0,86
gpt-4.1,0,69
gpt-4.1,1,160
gpt-4.1,0,92
gpt-4.1,0,117
gpt-4.1,0,53
gpt-4.1,1,176
gpt-4.1,0,106
gpt-4.1,0,115
gpt-4.1,0,100
gpt-4.1,0,160
gpt-4.1,0,105
gpt-4.1,0,291
gpt-4.1,0,133
gpt-4.1,0,70
gpt-4.1,0,131
gpt-4.1,0,594
gpt-4.1,0,118
gpt-4.1,1,96
gpt-4.1,0,156
gpt-4.1,0,69
gpt-4.1,1,189
gpt-4.1,1,55
gpt-4.1,0,86
gpt-4.1,0,106
gpt-4.1,0,86
gpt-4.1,0,97
gpt-4.1,0,62
gpt-4.1,1,175
gpt-4.1,0,117
gpt-4.1,1,72
gpt-4.1,0,115
gpt-4.1,0,54
gpt-4.1,0,141
gpt-4.1,0,82
gpt-4.1,1,96
gpt-4.1,0,100
gpt-4.1,0,97
gpt-4.1,0,69
gpt-4.1,0,61
gpt-4.1,0,188
gpt-4.1,0,92
gpt-4.1,1,108
gpt-4.1,0,85
gpt-4.1,1,84
gpt-4.1,1,75
gpt-4.1,0,107
gpt-4.1,0,112
gpt-4.1,1,115
gpt-4.1,1,91
gpt-4.1,0,93
gpt-4.1,0,188
gpt-4.1,0,83
gpt-4.1,0,138
gpt-4.1,1,137
gpt-4.1,1,113
gpt-4.1,1,44
gpt-4.1,0,185
gpt-4.1,0,78
gpt-4.1,1,64
gpt-4.1,1,51
gpt-4.1-mini,0,76
gpt-4.1-mini,1,140
gpt-4.1-mini,0,89
gpt-4.1-mini,0,423
gpt-4.1-mini,0,215
gpt-4.1-mini,0,115
gpt-4.1-mini,0,78
gpt-4.1-mini,0,74
gpt-4.1-mini,0,76
gpt-4.1-mini,1,165
gpt-4.1-mini,0,173
gpt-4.1-mini,0,109
gpt-4.1-mini,0,249
gpt-4.1-mini,0,116
gpt-4.1-mini,0,134
gpt-4.1-mini,1,99
gpt-4.1-mini,0,254
gpt-4.1-mini,0,1
gpt-4.1-mini,0,85
gpt-4.1-mini,0,152
gpt-4.1-mini,0,64
gpt-4.1-mini,0,1
gpt-4.1-mini,0,375
gpt-4.1-mini,0,88
gpt-4.1-mini,0,187
gpt-4.1-mini,1,134
gpt-4.1-mini,0,118
gpt-4.1-mini,0,315
gpt-4.1-mini,0,160
gpt-4.1-mini,0,1
gpt-4.1-mini,0,79
gpt-4.1-mini,1,53
gpt-4.1-mini,0,97
gpt-4.1-mini,0,465
gpt-4.1-mini,0,189
gpt-4.1-mini,0,148
gpt-4.1-mini,0,123
gpt-4.1-mini,0,184
gpt-4.1-mini,0,61
gpt-4.1-mini,0,63
gpt-4.1-mini,0,67
gpt-4.1-mini,0,104
gpt-4.1-mini,0,146
gpt-4.1-mini,0,358
gpt-4.1-mini,0,111
gpt-4.1-mini,1,97
gpt-4.1-mini,0,112
gpt-4.1-mini,0,86
gpt-4.1-mini,0,1
gpt-4.1-mini,1,422
gpt-4.1-mini,1,104
gpt-4.1-mini,0,122
gpt-4.1-mini,0,149
gpt-4.1-mini,1,102
gpt-4.1-mini,1,388
gpt-4.1-mini,1,78
gpt-4.1-mini,0,207
gpt-4.1-mini,1,67
gpt-4.1-mini,0,164
gpt-4.1-mini,1,87
gpt-4.1-mini,0,1
gpt-4.1-mini,0,1
gpt-4.1-mini,1,70
gpt-4.1-mini,0,563
gpt-4.1-mini,0,161
gpt-4.1-mini,0,72
gpt-4.1-mini,0,233
gpt-4.1-mini,0,113
gpt-4.1-mini,0,61
gpt-4.1-mini,0,123
gpt-4.1-mini,0,135
gpt-4.1-mini,1,53
gpt-4.1-mini,0,338
gpt-4.1-mini,0,92
gpt-4.1-mini,0,156
gpt-4.1-mini,1,105
gpt-4.1-mini,0,95
gpt-4.1-mini,1,127
gpt-4.1-mini,0,416
gpt-4.1-mini,0,87
gpt-4.1-mini,0,71
gpt-4.1-mini,0,371
gpt-4.1-mini,1,143
gpt-4.1-mini,0,98
gpt-4.1-mini,1,52
gpt-4.1-mini,0,57
gpt-4.1-mini,0,399
gpt-4.1-mini,0,167
gpt-4.1-mini,0,361
gpt-4.1-mini,0,518
gpt-4.1-mini,1,269
gpt-4.1-mini,0,72
gpt-4.1-mini,1,163
gpt-4.1-mini,0,647
gpt-4.1-mini,0,75
gpt-4.1-mini,0,69
gpt-4.1-mini,0,515
gpt-4.1-mini,0,79
gpt-4.1-mini,1,95
gpt-4.1-mini,0,91
gpt-4.1-mini,0,95
gpt-4.1-mini,0,216
gpt-4.1-mini,0,78
gpt-4.1-mini,0,89
gpt-4.1-mini,0,57
gpt-4.1-mini,1,97
gpt-4.1-mini,0,120
gpt-4.1-mini,0,295
gpt-4.1-mini,0,405
gpt-4.1-mini,0,134
gpt-4.1-mini,0,104
gpt-4.1-mini,0,118
gpt-4.1-mini,0,93
gpt-4.1-mini,0,463
gpt-4.1-mini,1,65
gpt-4.1-mini,0,629
gpt-4.1-mini,0,571
gpt-4.1-mini,1,61
gpt-4.1-mini,1,53
gpt-4.1-mini,0,261
gpt-4.1-mini,1,113
gpt-4.1-mini,0,58
gpt-4.1-mini,1,182
gpt-4.1-mini,1,58
gpt-4.1-mini,0,110
gpt-4.1-mini,1,39
gpt-4.1-mini,0,78
gpt-4.1-mini,0,66
gpt-4.1-mini,0,101
gpt-4.1-mini,0,596
gpt-4.1-mini,0,123
gpt-4.1-mini,0,78
gpt-4.1-mini,1,143
gpt-4.1-mini,1,60
gpt-4.1-mini,0,68
gpt-4.1-mini,0,75
gpt-4.1-mini,0,128
gpt-4.1-mini,0,174
gpt-4.1-mini,1,175
gpt-4.1-mini,0,80
gpt-4.1-mini,1,163
gpt-4.1-mini,1,143
gpt-4.1-mini,0,60
gpt-4.1-mini,0,127
gpt-4.1-mini,1,137
gpt-4.1-mini,0,165
gpt-4.1-mini,0,123
gpt-4.1-mini,0,144
gpt-4.1-mini,0,427
gpt-4.1-mini,0,126
gpt-4.1-mini,0,237
gpt-4.1-mini,0,109
gpt-4.1-mini,0,341
gpt-4.1-mini,1,115
gpt-4.1-mini,1,444
gpt-4.1-mini,1,77
gpt-4.1-mini,0,90
gpt-4.1-mini,0,425
gpt-4.1-mini,1,266
gpt-4.1-mini,0,1
gpt-4.1-mini,0,108
gpt-4.1-mini,1,57
gpt-4.1-mini,0,154
gpt-4.1-mini,0,111
gpt-4.1-mini,0,111
gpt-4.1-mini,0,130
gpt-4.1-mini,1,66
gpt-4.1-mini,0,357
gpt-4.1-mini,0,509
gpt-4.1-mini,0,151
gpt-4.1-mini,1,88
gpt-4.1-mini,0,386
gpt-4.1-mini,1,195
gpt-4.1-mini,0,92
gpt-4.1-mini,1,107
gpt-4.1-mini,0,133
gpt-4.1-mini,0,508
gpt-4.1-mini,1,67
gpt-4.1-mini,0,438
gpt-4.1-mini,0,98
gpt-4.1-mini,0,77
gpt-4.1-mini,0,87
gpt-4.1-mini,0,106
gpt-4.1-mini,0,86
gpt-4.1-mini,0,125
gpt-4.1-mini,1,170
gpt-4.1-mini,0,107
gpt-4.1-mini,0,66
gpt-4.1-mini,0,442
gpt-4.1-mini,1,232
gpt-4.1-mini,0,102
gpt-4.1-mini,0,87
gpt-4.1-mini,0,84
gpt-4.1-mini,0,195
gpt-4.1-mini,0,57
gpt-4.1-mini,0,95
gpt-4.1-mini,0,142
gpt-4.1-mini,0,65
gpt-4.1-mini,0,228
gpt-4.1-mini,0,176
gpt-4.1-mini,0,89
gpt-4.1-mini,0,85
gpt-4.1-mini,0,147
gpt-4.1-mini,0,125
gpt-4.1-mini,0,176
gpt-4.1-mini,0,88
gpt-4.1-mini,0,72
gpt-4.1-mini,0,135
gpt-4.1-mini,1,104
gpt-4.1-mini,0,63
gpt-4.1-mini,0,103
gpt-4.1-mini,0,131
gpt-4.1-mini,1,109
gpt-4.1-mini,0,70
gpt-4.1-mini,0,128
gpt-4.1-mini,0,90
gpt-4.1-mini,0,289
gpt-4.1-mini,0,164
gpt-4.1-mini,0,75
gpt-4.1-mini,1,53
gpt-4.1-mini,0,109
gpt-4.1-mini,1,262
gpt-4.1-mini,0,112
gpt-4.1-mini,0,61
gpt-4.1-mini,0,228
gpt-4.1-mini,0,133
gpt-4.1-mini,0,236
gpt-4.1-mini,0,113
gpt-4.1-mini,0,62
gpt-4.1-mini,0,305
gpt-4.1-mini,0,81
gpt-4.1-mini,0,334
gpt-4.1-mini,0,452
gpt-4.1-mini,0,79
gpt-4.1-mini,0,66
gpt-4.1-mini,0,76
gpt-4.1-mini,0,99
gpt-4.1-mini,0,290
gpt-4.1-mini,0,96
gpt-4.1-mini,0,82
gpt-4.1-mini,0,304
gpt-4.1-mini,0,96
gpt-4.1-mini,0,1
gpt-4.1-mini,0,1
gpt-4.1-mini,1,82
gpt-4.1-mini,0,172
gpt-4.1-mini,1,160
gpt-4.1-mini,0,254
gpt-4.1-mini,0,189
gpt-4.1-mini,0,152
gpt-4.1-mini,1,48
gpt-4.1-mini,0,179
gpt-4.1-mini,1,382
gpt-4.1-mini,1,48
gpt-4.1-mini,0,52
gpt-4.1-mini,0,64
gpt-4.1-mini,1,91
gpt-4.1-mini,0,78
gpt-4.1-mini,1,97
gpt-4.1-mini,0,287
gpt-4.1-mini,1,101
gpt-4.1-mini,0,161
gpt-4.1-mini,0,219
gpt-4.1-mini,0,116
gpt-4.1-mini,1,273
gpt-4.1-mini,0,116
gpt-4.1-mini,0,70
gpt-4.1-mini,0,104
gpt-4.1-mini,1,216
llama-3.1-8b,0,74
llama-3.1-8b,1,74
llama-3.1-8b,1,51
llama-3.1-8b,0,74
llama-3.1-8b,0,62
llama-3.1-8b,0,67
llama-3.1-8b,0,64
llama-3.1-8b,0,55
llama-3.1-8b,0,54
llama-3.1-8b,0,71
llama-3.1-8b,0,68
llama-3.1-8b,0,54
llama-3.1-8b,0,77
llama-3.1-8b,0,66
llama-3.1-8b,0,72
llama-3.1-8b,0,63
llama-3.1-8b,1,59
llama-3.1-8b,0,59
llama-3.1-8b,0,60
llama-3.1-8b,0,73
llama-3.1-8b,0,76
llama-3.1-8b,1,127
llama-3.1-8b,0,89
llama-3.1-8b,0,100
llama-3.1-8b,0,99
llama-3.1-8b,0,104
llama-3.1-8b,1,101
llama-3.1-8b,0,107
llama-3.1-8b,0,78
llama-3.1-8b,0,144
llama-3.1-8b,0,108
llama-3.1-8b,0,95
llama-3.1-8b,0,104
llama-3.1-8b,0,82
llama-3.1-8b,0,87
llama-3.1-8b,0,90
llama-3.1-8b,1,115
llama-3.1-8b,0,95
llama-3.1-8b,0,87
llama-3.1-8b,0,97
llama-3.1-8b,0,93
llama-3.1-8b,0,92
llama-3.1-8b,0,113
llama-3.1-8b,1,87
llama-3.1-8b,1,124
llama-3.1-8b,0,95
llama-3.1-8b,0,92
llama-3.1-8b,0,97
llama-3.1-8b,0,86
llama-3.1-8b,0,105
llama-3.1-8b,0,120
llama-3.1-8b,1,119
llama-3.1-8b,0,101
llama-3.1-8b,0,64
llama-3.1-8b,0,67
llama-3.1-8b,0,70
llama-3.1-8b,1,60
llama-3.1-8b,0,67
llama-3.1-8b,0,56
llama-3.1-8b,0,52
llama-3.1-8b,0,55
llama-3.1-8b,0,53
llama-3.1-8b,0,44
llama-3.1-8b,0,71
llama-3.1-8b,0,68
llama-3.1-8b,0,78
llama-3.1-8b,0,76
llama-3.1-8b,0,63
llama-3.1-8b,0,58
llama-3.1-8b,0,66
llama-3.1-8b,0,71
llama-3.1-8b,0,62
llama-3.1-8b,0,75
llama-3.1-8b,0,68
llama-3.1-8b,0,66
llama-3.1-8b,0,82
llama-3.1-8b,0,57
llama-3.1-8b,0,65
llama-3.1-8b,0,59
llama-3.1-8b,0,59
llama-3.1-8b,0,69
llama-3.1-8b,0,52
llama-3.1-8b,0,64
llama-3.1-8b,0,64
llama-3.1-8b,0,63
llama-3.1-8b,0,59
llama-3.1-8b,0,60
llama-3.1-8b,0,66
llama-3.1-8b,0,70
llama-3.1-8b,0,70
llama-3.1-8b,0,77
llama-3.1-8b,0,70
llama-3.1-8b,0,76
llama-3.1-8b,0,63
llama-3.1-8b,0,72
llama-3.1-8b,0,68
llama-3.1-8b,0,63
llama-3.1-8b,0,65
llama-3.1-8b,0,70
llama-3.1-8b,0,62
llama-3.1-8b,0,66
llama-3.1-8b,1,59
llama-3.1-8b,0,61
llama-3.1-8b,1,63
llama-3.1-8b,0,64
llama-3.1-8b,0,63
llama-3.1-8b,0,57
llama-3.1-8b,0,61
llama-3.1-8b,0,70
llama-3.1-8b,0,86
llama-3.1-8b,0,87
llama-3.1-8b,1,39
llama-3.1-8b,0,66
llama-3.1-8b,0,56
llama-3.1-8b,0,54
llama-3.1-8b,0,37
llama-3.1-8b,0,44
llama-3.1-8b,0,76
llama-3.1-8b,0,51
llama-3.1-8b,1,51
llama-3.1-8b,0,56
llama-3.1-8b,0,44
llama-3.1-8b,0,54
llama-3.1-8b,0,38
llama-3.1-8b,0,37
llama-3.1-8b,0,44
llama-3.1-8b,0,55
llama-3.1-8b,0,52
llama-3.1-8b,0,37
llama-3.1-8b,0,50
llama-3.1-8b,0,45
llama-3.1-8b,0,54
llama-3.1-8b,1,38
llama-3.1-8b,0,62
llama-3.1-8b,1,48
llama-3.1-8b,0,49
llama-3.1-8b,0,44
llama-3.1-8b,0,61
llama-3.1-8b,0,49
llama-3.1-8b,0,53
llama-3.1-8b,1,44
llama-3.1-8b,0,52
llama-3.1-8b,0,49
llama-3.1-8b,0,56
llama-3.1-8b,0,72
llama-3.1-8b,0,69
llama-3.1-8b,0,54
llama-3.1-8b,0,69
llama-3.1-8b,0,42
llama-3.1-8b,0,56
llama-3.1-8b,0,52
llama-3.1-8b,0,69
llama-3.1-8b,1,42
llama-3.1-8b,0,47
llama-3.1-8b,0,54
llama-3.1-8b,0,40
llama-3.1-8b,0,52
llama-3.1-8b,0,48
llama-3.1-8b,0,54
llama-3.1-8b,0,52
llama-3.1-8b,0,48
llama-3.1-8b,0,30
llama-3.1-8b,0,41
llama-3.1-8b,0,52
llama-3.1-8b,0,48
llama-3.1-8b,0,62
llama-3.1-8b,1,63
llama-3.1-8b,0,35
llama-3.1-8b,0,49
llama-3.1-8b,0,44
llama-3.1-8b,0,55
llama-3.1-8b,0,54
llama-3.1-8b,0,60
llama-3.1-8b,0,59
llama-3.1-8b,0,59
llama-3.1-8b,0,56
llama-3.1-8b,0,65
llama-3.1-8b,0,52
llama-3.1-8b,0,62
llama-3.1-8b,1,47
llama-3.1-8b,1,55
llama-3.1-8b,0,56
llama-3.1-8b,0,60
llama-3.1-8b,0,48
llama-3.1-8b,0,45
llama-3.1-8b,1,45
llama-3.1-8b,0,37
llama-3.1-8b,0,38
llama-3.1-8b,0,47
llama-3.1-8b,1,56
llama-3.1-8b,0,57
llama-3.1-8b,0,96
llama-3.1-8b,0,115
llama-3.1-8b,0,82
llama-3.1-8b,0,81
llama-3.1-8b,0,75
llama-3.1-8b,0,90
llama-3.1-8b,0,95
llama-3.1-8b,0,96
llama-3.1-8b,0,112
llama-3.1-8b,0,97
llama-3.1-8b,0,109
llama-3.1-8b,0,85
llama-3.1-8b,0,113
